st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
AL,01001,55395,53682,2.7,1.1,18.7,75.6,1.6,20.9,91.8,5922,51.4,13.8,25.2,AL_Autauga,Alabama,Hillary Clinton,2387,0.8,2931,0.07073651408720937
AL,01003,200111,50221,4.6,0.9,9.6,83.0,3.6,27.7,114.6,19346,51.2,18.7,22.2,AL_Baldwin,Alabama,Hillary Clinton,5290,0.647,7984,0.05128259214593484
AL,01005,26887,32911,4.5,0.5,47.6,46.6,2.9,13.4,31.0,2120,46.6,16.5,21.2,AL_Barbour,Alabama,Hillary Clinton,2567,0.906,2789,0.13163759815237264
AL,01007,22506,36447,2.1,0.2,22.1,74.5,1.2,12.1,36.8,1327,45.9,14.8,21.0,AL_Bibb,Alabama,Hillary Clinton,942,0.755,1188,0.06681762500464013
AL,01011,10764,32033,7.5,0.3,70.1,22.1,5.4,12.5,17.5,636,45.3,14.9,21.4,AL_Bullock,Alabama,Hillary Clinton,2451,0.913,2629,0.3107379891316167
AL,01013,20296,29918,1.2,0.9,44.0,53.1,0.8,14.0,27.0,1497,53.6,18.0,23.6,AL_Butler,Alabama,Hillary Clinton,2196,0.921,2352,0.15168181077126588
AL,01015,115916,39962,3.5,0.9,21.1,72.9,2.4,16.1,195.7,11385,51.8,16.0,22.2,AL_Calhoun,Alabama,Hillary Clinton,5011,0.765,6436,0.07136627879899911
AL,01017,34076,32402,2.0,0.8,39.5,56.8,1.1,11.8,57.4,2691,52.3,18.3,21.4,AL_Chambers,Alabama,Hillary Clinton,2899,0.8859999999999999,3211,0.11988618764760824
AL,01021,43931,41250,7.7,0.4,10.6,80.3,5.2,12.9,63.0,3308,50.8,15.2,24.2,AL_Chilton,Alabama,Hillary Clinton,860,0.731,1149,0.034504817431077
AL,01023,13323,33941,0.8,0.3,42.4,56.1,0.3,11.8,15.2,938,52.5,20.8,20.6,AL_Choctaw,Alabama,Hillary Clinton,1772,0.802,2045,0.19331732722582926
AL,01025,24945,29357,1.3,0.5,44.2,53.1,0.3,11.2,20.9,1583,52.8,18.0,22.6,AL_Clarke,Alabama,Hillary Clinton,3148,0.93,3361,0.17407806217606384
AL,01031,50909,43768,6.4,1.6,17.7,71.3,5.1,22.5,73.6,6066,50.5,15.9,23.7,AL_Coffee,Alabama,Hillary Clinton,1493,0.772,1882,0.04845075118873609
AL,01033,54543,39077,2.6,0.5,16.3,78.8,2.0,17.7,91.8,4376,51.8,18.5,21.7,AL_Colbert,Alabama,Hillary Clinton,3879,0.65,5221,0.12225113774223714
AL,01035,12670,24658,1.8,0.1,46.2,51.1,0.6,8.8,15.6,1101,51.9,20.4,21.4,AL_Conecuh,Alabama,Hillary Clinton,2031,0.7140000000000001,2575,0.2585699625048451
