st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
AL,01001,55395,53682,2.7,1.1,18.7,75.6,1.6,20.9,91.8,5922,51.4,13.8,25.2,AL_Autauga,Alabama,Donald Trump,5387,0.445,11839,0.2857214569356778
AL,01003,200111,50221,4.6,0.9,9.6,83.0,3.6,27.7,114.6,19346,51.2,18.7,22.2,AL_Baldwin,Alabama,Donald Trump,23618,0.469,49100,0.31537766462492495
AL,01005,26887,32911,4.5,0.5,47.6,46.6,2.9,13.4,31.0,2120,46.6,16.5,21.2,AL_Barbour,Alabama,Donald Trump,1710,0.501,3357,0.15844654607297057
AL,01007,22506,36447,2.1,0.2,22.1,74.5,1.2,12.1,36.8,1327,45.9,14.8,21.0,AL_Bibb,Alabama,Donald Trump,1959,0.494,3891,0.21884459502782383
AL,01009,57719,44145,8.7,0.3,1.8,87.8,4.3,12.1,88.9,4540,50.5,17.0,23.6,AL_Blount,Alabama,Donald Trump,7390,0.487,14791,0.3354172394528502
AL,01013,20296,29918,1.2,0.9,44.0,53.1,0.8,14.0,27.0,1497,53.6,18.0,23.6,AL_Butler,Alabama,Donald Trump,1720,0.5379999999999999,3144,0.20275833888812073
AL,01015,115916,39962,3.5,0.9,21.1,72.9,2.4,16.1,195.7,11385,51.8,16.0,22.2,AL_Calhoun,Alabama,Donald Trump,8960,0.451,19377,0.2148639503244571
AL,01017,34076,32402,2.0,0.8,39.5,56.8,1.1,11.8,57.4,2691,52.3,18.3,21.4,AL_Chambers,Alabama,Donald Trump,2169,0.476,4441,0.16580957936562696
AL,01019,26037,34907,1.5,0.3,4.6,91.6,0.7,12.8,46.9,2174,50.2,20.9,20.4,AL_Cherokee,Alabama,Donald Trump,2777,0.521,5193,0.25056148353242186
AL,01021,43931,41250,7.7,0.4,10.6,80.3,5.2,12.9,63.0,3308,50.8,15.2,24.2,AL_Chilton,Alabama,Donald Trump,5273,0.493,10404,0.3124352659294387
AL,01023,13323,33941,0.8,0.3,42.4,56.1,0.3,11.8,15.2,938,52.5,20.8,20.6,AL_Choctaw,Alabama,Donald Trump,1070,0.499,2073,0.19596421483576726
AL,01025,24945,29357,1.3,0.5,44.2,53.1,0.3,11.2,20.9,1583,52.8,18.0,22.6,AL_Clarke,Alabama,Donald Trump,2308,0.502,4534,0.23483187560436578
AL,01027,13552,34002,3.4,0.3,14.5,79.7,2.2,9.2,23.1,1076,50.6,19.4,21.6,AL_Clay,Alabama,Donald Trump,1920,0.476,3878,0.3649962050936077
AL,01029,15080,38019,2.5,0.2,3.6,92.3,1.5,9.0,26.7,989,50.4,18.4,23.3,AL_Cleburne,Alabama,Donald Trump,2120,0.483,4189,0.36217098551316057
AL,01031,50909,43768,6.4,1.6,17.7,71.3,5.1,22.5,73.6,6066,50.5,15.9,23.7,AL_Coffee,Alabama,Donald Trump,4304,0.414,10078,0.2594509407439332
AL,01033,54543,39077,2.6,0.5,16.3,78.8,2.0,17.7,91.8,4376,51.8,18.5,21.7,AL_Colbert,Alabama,Donald Trump,3858,0.474,8036,0.18816512984037878
AL,01035,12670,24658,1.8,0.1,46.2,51.1,0.6,8.8,15.6,1101,51.9,20.4,21.4,AL_Conecuh,Alabama,Donald Trump,768,0.59,1271,0.12762812518200314
