state,st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,winner,votes,total_votes,fraction_votes,voter_turnout
Alabama,AL,01000,4849377,43253,4.1,1.3,26.7,66.2,3.5,22.6,94.4,388865,51.5,15.3,22.8,Donald Trump,369251,833251,0.44314498272429315,0.22257305909091613
Arizona,AZ,04000,6731484,49774,30.5,3.3,4.7,56.2,13.4,26.9,56.3,522382,50.3,15.9,24.1,Donald Trump,249634,434560,0.5744523195876289,0.08505447231239668
Arkansas,AR,05000,2966369,40768,7.0,1.5,15.6,73.4,4.5,20.1,56.0,237311,50.9,15.7,23.8,Donald Trump,130239,390263,0.33372110602337396,0.17265423417619408
California,CA,06000,38802500,61094,38.6,14.4,6.5,38.5,27.0,30.7,239.1,1893539,50.3,12.9,23.6,Donald Trump,1174210,1494865,0.7854956802119255,0.05042534839641344
Connecticut,CT,09000,3596677,69461,15.0,4.5,11.5,68.8,13.6,36.5,738.1,217947,51.2,15.5,21.6,Donald Trump,123315,208722,0.5908097852646104,0.07402028061355705
Delaware,DE,10000,935614,59878,8.9,3.8,22.2,63.7,8.4,28.9,460.8,75081,51.6,16.4,21.8,Donald Trump,42472,67807,0.6263660094090581,0.09267680760450006
Florida,FL,12000,19893297,46956,24.1,2.8,16.8,55.8,19.4,26.4,350.6,1569406,51.1,19.1,20.4,Donald Trump,1076480,2275589,0.4730555473769648,0.143705698997696
Georgia,GA,13000,10097343,49179,9.3,3.8,31.5,54.3,9.7,28.0,168.4,690208,51.2,12.4,24.7,Donald Trump,493656,1261079,0.39145525379456797,0.16585944518625595
Idaho,ID,16000,1634464,46767,12.0,1.4,0.8,82.8,5.9,25.1,19.0,122955,49.9,14.3,26.4,Ted Cruz,98520,209560,0.4701278870013361,0.17420283399913686
Illinois,IL,17000,12880580,56797,16.7,5.3,14.7,62.3,13.8,31.4,231.1,727919,50.9,13.9,23.2,Donald Trump,456667,1161797,0.3930695293583991,0.11744475096747713
Indiana,IN,18000,6596855,48248,6.6,2.0,9.6,80.3,4.7,23.2,181.0,455105,50.7,14.3,24.0,Donald Trump,590460,1080653,0.5463918575157798,0.21554389813104324
Iowa,IA,19000,3107126,51843,5.6,2.2,3.4,87.1,4.5,25.7,54.5,226175,50.3,15.8,23.4,Ted Cruz,40734,151456,0.26894939784491867,0.06363541021442685
Kentucky,KY,21000,4413457,43036,3.4,1.4,8.2,85.4,3.3,21.5,109.9,312365,50.8,14.8,22.9,Donald Trump,70615,197771,0.35705437096439824,0.058120498661294664
Louisiana,LA,22000,4649676,44874,4.8,1.8,32.5,59.3,3.9,21.8,104.9,304271,51.1,13.6,23.9,Donald Trump,120455,282392,0.42655245191081903,0.07980774524660507
Maryland,MD,24000,5976407,73538,9.3,6.4,30.3,52.6,14.0,36.8,594.8,427068,51.5,13.8,22.6,Donald Trump,236623,418750,0.5650698507462687,0.09052607558933408
Massachusetts,MA,25000,6745408,66866,10.8,6.3,8.3,74.3,15.0,39.4,839.4,383087,51.5,15.1,20.6,Donald Trump,287733,571524,0.5034486740714301,0.10671015399637246
Michigan,MI,26000,9909877,48411,4.8,2.9,14.2,75.8,6.1,25.9,174.8,672213,50.9,15.4,22.4,Donald Trump,483160,1257810,0.384127968453105,0.16356299631748528
Mississippi,MS,28000,2994079,39031,3.0,1.0,37.5,57.3,2.2,20.1,63.2,200748,51.4,14.3,24.4,Donald Trump,188873,390219,0.48401794889536387,0.17239448204696617
